index	group	family	subfamily	protein	uniprot	protein_name	gene_synonyms	protein_alternative_names	function
1	GT-A	GT12	GT12-1	B4GALNT1	Q00973	Beta-1,4 N-acetylgalactosaminyltransferase 1	GALGT;SIAT2	(N-acetylneuraminyl)-galactosylglucosylceramide;GM2/GD2 synthase;GalNAc-T	Involved in the biosynthesis of gangliosides GM2, GD2, GT2 and GA2 from GM3, GD3, GT3 and GA3, respectively
2	GT-A	GT12	GT12-1	B4GALNT2	Q8NHY0	Beta-1,4 N-acetylgalactosaminyltransferase 2	GALGT2	Sd(a) beta-1,4-GalNAc transferase;UDP-GalNAc:Neu5Aca2-3Galb-R b1,4-N-acetylgalactosaminyltransferase	Beta-1,4 N-acetylgalactosaminyltransferase involved in the biosynthesis of Sd(a) histo-blood group antigen. Catalyzes the transfer of N-acetylgalactosamine (GalNAc) group in a beta-1,4-linkage from UDP-GalNAc to the galactose residue of NeuAcalpha2->3Gal-R to form Sd(a) glycan epitope GalNAcbeta1->4(NeuAcalpha2->3)Gal-R. The Sd(a) epitope is carried in O- and N-linked glycoproteins and glycolipids, including O-linked core 1 structures on GYPA/glycophorin, SLC4A1 and SLC29A1 in erythrocytes, N-linked glycans attached to the Tamm-Horsfall glycoprotein UMOD/uromodulin in renal fluids, O-linked core 3 glycans on mucins in colon and neolactosides in gastric mucosa (PubMed:12678917, PubMed:14688233, PubMed:16024623, PubMed:35409292). Confers protection against influenza A virus strains that attach to NeuAcalpha2->3-carrying host receptors. Modifies N-glycan chains on host receptors and prevents virus entry into cells (PubMed:28813663)
3	GT-A	GT13	GT13-MGAT1	MGAT1	P26572	Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase	GGNT1;GLCT1;GLYT1;MGAT	N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase I	Initiates complex N-linked carbohydrate formation. Essential for the conversion of high-mannose to hybrid and complex N-glycans
4	GT-A	GT13	GT13-POMGNT1	POMGNT1	Q8WZA1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1	MGAT1.2	UDP-GlcNAc:alpha-D-mannoside beta-1,2-N-acetylglucosaminyltransferase I.2	Participates in O-mannosyl glycosylation by catalyzing the addition of N-acetylglucosamine to O-linked mannose on glycoproteins (PubMed:11709191, PubMed:27493216, PubMed:28512129). Catalyzes the synthesis of the GlcNAc(beta1-2)Man(alpha1-)O-Ser/Thr moiety on alpha-dystroglycan and other O-mannosylated proteins, providing the necessary basis for the addition of further carbohydrate moieties (PubMed:11709191, PubMed:27493216). Is specific for alpha linked terminal mannose and does not have MGAT3, MGAT4, MGAT5, MGAT7 or MGAT8 activity
5	GT-A	GT14	GT14-1	GCNT1	Q02742	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase	NACGT2	Core 2 beta-1,6-N-acetylglucosaminyltransferase;Core 2-branching enzyme;Core2-GlcNAc-transferase;Leukocyte type core 2 beta-1,6-N-acetylglucosaminyltransferase	Glycosyltransferase that catalyzes the transfer of an N-acetylglucosamine (GlcNAc) moiety in beta1-6 linkage from UDP-GlcNAc onto mucin-type core 1 O-glycan to form the branched mucin-type core 2 O-glycan (PubMed:1329093, PubMed:23027862). The catalysis is metal ion-independent and occurs with inversion of the anomeric configuration of sugar donor (By similarity). Selectively involved in synthesis of mucin-type core 2 O-glycans that serve as scaffolds for the display of selectin ligand sialyl Lewis X epitope by myeloid cells, with an impact on homeostasis and recruitment to inflammatory sites (By similarity). Can also act on glycolipid substrates. Transfers GlcNAc moiety to GalGb4Cer globosides in a reaction step to the synthesis of stage-specific embryonic antigen 1 (SSEA-1) determinant (By similarity). Can use Galbeta1-3GalNAcalpha1- and Galbeta1-3GalNAcbeta1- oligosaccharide derivatives as acceptor substrates (By similarity)
6	GT-A	GT14	GT14-1	GCNT2	Q8N0V5	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase	GCNT5;II;NACGT1	I-branching enzyme;IGNT	Branching enzyme that converts linear into branched poly-N-acetyllactosaminoglycans. Introduces the blood group I antigen during embryonic development. It is closely associated with the development and maturation of erythroid cells;Determines the expression of the blood group I antigen in erythrocytes
7	GT-A	GT14	GT14-1	GCNT3	O95395	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 3		C2GnT-mucin type;Core 2/core 4 beta-1,6-N-acetylglucosaminyltransferase	Glycosyltransferase that can synthesize all known mucin beta 6 N-acetylglucosaminides. Mediates core 2 and core 4 O-glycan branching, 2 important steps in mucin-type biosynthesis. Also has I-branching enzyme activity by converting linear into branched poly-N-acetyllactosaminoglycans, leading to introduce the blood group I antigen during embryonic development
8	GT-A	GT14	GT14-1	GCNT4	Q9P109	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 4		Core 2-branching enzyme 3;Core2-GlcNAc-transferase 3	Glycosyltransferase that mediates core 2 O-glycan branching, an important step in mucin-type biosynthesis. Does not have core 4 O-glycan or I-branching enzyme activity
9	GT-A	GT14	GT14-1	GCNT7	Q6ZNI0	Probable beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 7	C20orf105		Probable glycosyltransferase
10	GT-A	GT14	GT14-1	XYLT2	Q9H1B5	Xylosyltransferase 2	XT2	Peptide O-xylosyltransferase 1;Xylosyltransferase II	Catalyzes the first step in the biosynthesis of chondroitin sulfate, heparan sulfate and dermatan sulfate proteoglycans, such as DCN. Transfers D-xylose from UDP-D-xylose to specific serine residues of the core protein
11	GT-A	GT14	GT14-1	XYLT1	Q86Y38	Xylosyltransferase 1	XT1	Peptide O-xylosyltransferase 1;Xylosyltransferase I	Catalyzes the first step in the biosynthesis of chondroitin sulfate and dermatan sulfate proteoglycans, such as DCN. Transfers D-xylose from UDP-D-xylose to specific serine residues of the core protein (PubMed:15461586, PubMed:17189265, PubMed:23982343, PubMed:24581741). Required for normal embryonic and postnatal skeleton development, especially of the long bones (PubMed:23982343, PubMed:24581741). Required for normal maturation of chondrocytes during bone development, and normal onset of ossification (By similarity)
12	GT-A	GT14	GT14-1	GCNT6	Q5T4J0	Beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase 6			
13	GT-A	GT16	GT16-2	MGAT2	Q10469	Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase		Beta-1,2-N-acetylglucosaminyltransferase II;GlcNAc-T II;Mannoside acetylglucosaminyltransferase 2;N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase II	Plays an essential role in protein N-glycosylation. Catalyzes the transfer of N-acetylglucosamine (GlcNAc) onto the free terminal mannose moiety in the core structure of the nascent N-linked glycan chain, giving rise to the second branch in complex glycans
14	GT-A	GT17	GT17-1	MGAT3	Q09327	Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase	GGNT3	N-glycosyl-oligosaccharide-glycoprotein N-acetylglucosaminyltransferase III	It is involved in the regulation of the biosynthesis and biological function of glycoprotein oligosaccharides. Catalyzes the addition of N-acetylglucosamine in beta 1-4 linkage to the beta-linked mannose of the trimannosyl core of N-linked sugar chains, called bisecting N-acetylglucosamine (GlcNAc). It is one of the most important enzymes involved in the regulation of the biosynthesis of glycoprotein oligosaccharides. The addition of this bisecting GlcNAc residue alters not only the composition, but also the conformation of the N-glycan. The introduction of the bisecting GlcNAc residue results in the suppression of further processing and elongation of N-glycans, precluding the formation of beta-1,6 GlcNAc branching, catalyzed by MGAT5 since it is unable to use the bisected oligosaccharide as a substrate (PubMed:19403558). Addition of bisecting N-acetylglucosamine to CDH1/E-cadherin modulates CDH1 cell membrane location (PubMed:19403558). Inhibits NeuAc-alpha-2,3-Gal-beta-1,4-GlcNAc- formation which modulates sialylation levels and plays a role in cell migration regulation (PubMed:26801611). In brain, addition of bisecting N-acetylglucosamine to BACE1 blocks its lysosomal targeting in response to oxidative stress and further degradation which increases its location to early endosome and the APP cleavage (By similarity)
15	GT-A	GT2-B3GntL	GT2-B3GntL-1	B3GNTL1	Q67FW5	Queuosine-tRNA galactosyltransferase	B3GNT8;QTGAL	Beta-1,3-N-acetylglucosaminyltransferase 8;UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1	Glycosyltransferase that specifically catalyzes galactosylation of cytoplasmic tRNA(Tyr) modified with queuosine at position 34 (queuosine(34)) (PubMed:37992713). Galactosylates the cyclopentene hydroxyl group of queuosine(34) in tRNA(Tyr) to form galactosyl-queuosine(34) (PubMed:37992713). Mannosylation of queuosine(34) in tRNA(Tyr) is required to slow-down elongation at cognate codons UAC and suppress stop codon readthrough, thereby regulating protein translation (PubMed:37992713)
16	GT-A	GT2-Chitin-HAS	GT2-Chitin-HAS-1	HAS2	Q92819	Hyaluronan synthase 2		Hyaluronate synthase 2;Hyaluronic acid synthase 2	Catalyzes the addition of GlcNAc or GlcUA monosaccharides to the nascent hyaluronan polymer (Probable) (PubMed:20507985, PubMed:21228273, PubMed:23303191, PubMed:32993960). Therefore, it is essential to hyaluronan synthesis a major component of most extracellular matrices that has a structural role in tissues architectures and regulates cell adhesion, migration and differentiation (PubMed:20507985, PubMed:21228273, PubMed:8798477). This is one of three isoenzymes responsible for cellular hyaluronan synthesis and it is particularly responsible for the synthesis of high molecular mass hyaluronan (By similarity)
17	GT-A	GT2-Chitin-HAS	GT2-Chitin-HAS-1	HAS1	Q92839	Hyaluronan synthase 1	HAS	Hyaluronate synthase 1;Hyaluronic acid synthase 1	Catalyzes the addition of GlcNAc or GlcUA monosaccharides to the nascent hyaluronan polymer. Therefore, it is essential to hyaluronan synthesis a major component of most extracellular matrices that has a structural role in tissues architectures and regulates cell adhesion, migration and differentiation. This is one of the isozymes catalyzing that reaction. Also able to catalyze the synthesis of chito-oligosaccharide depending on the substrate (By similarity)
18	GT-A	GT2-Chitin-HAS	GT2-Chitin-HAS-1	HAS3	O00219	Hyaluronan synthase 3		Hyaluronate synthase 3;Hyaluronic acid synthase 3	Catalyzes the addition of GlcNAc or GlcUA monosaccharides to the nascent hyaluronan polymer. Therefore, it is essential to hyaluronan synthesis a major component of most extracellular matrices that has a structural role in tissues architectures and regulates cell adhesion, migration and differentiation. This is one of three isoenzymes responsible for cellular hyaluronan synthesis
19	GT-A	GT2-CWR	GT2-Mix-1	COLGALT1	Q8NBJ5	Procollagen galactosyltransferase 1	GLT25D1	Collagen beta(1-O)galactosyltransferase 1;Glycosyltransferase 25 family member 1;Hydroxylysine galactosyltransferase 1	Beta-galactosyltransferase that transfers beta-galactose to hydroxylysine residues of type I collagen (PubMed:19075007, PubMed:22216269, PubMed:27402836). By acting on collagen glycosylation, facilitates the formation of collagen triple helix (PubMed:27402836). Also involved in the biosynthesis of collagen type IV (PubMed:30412317)
20	GT-A	GT2-CWR	GT62-1	COLGALT2	Q8IYK4	Procollagen galactosyltransferase 2	C1orf17;GLT25D2;KIAA0584	Collagen beta(1-O)galactosyltransferase 2;Glycosyltransferase 25 family member 2;Hydroxylysine galactosyltransferase 2	Beta-galactosyltransferase that transfers beta-galactose to hydroxylysine residues of collagen
21	GT-A	GT2-DPs	GT2-DPs_Mix	ALG5	Q9Y673	Dolichyl-phosphate beta-glucosyltransferase		Asparagine-linked glycosylation protein 5 homolog	Dolichyl-phosphate beta-glucosyltransferase that operates in the biosynthetic pathway of dolichol-linked oligosaccharides, the glycan precursors employed in protein asparagine (N)-glycosylation. The assembly of dolichol-linked oligosaccharides begins on the cytosolic side of the endoplasmic reticulum membrane and finishes in its lumen. The sequential addition of sugars to dolichol pyrophosphate produces dolichol-linked oligosaccharides containing fourteen sugars, including two GlcNAcs, nine mannoses and three glucoses. Once assembled, the oligosaccharide is transferred from the lipid to nascent proteins by oligosaccharyltransferases. Dolichyl-phosphate beta-glucosyltransferase produces dolichyl beta-D-glucosyl phosphate/Dol-P-Glc, the glucose donor substrate used sequentially by ALG6, ALG8 and ALG10 to add glucose residues on top of the Man(9)GlcNAc(2)-PP-Dol structure. These are the three last steps in the biosynthetic pathway of dolichol-linked oligosaccharides to produce Glc(3)Man(9)GlcNAc(2)-PP-Dol. The enzyme is most probably active on the cytoplasmic side of the endoplasmic reticulum while its product Dol-P-Glc is the substrate for ALG6, ALG8 and ALG11 in the lumen of the endoplasmic reticulum
22	GT-A	GT2-DPs	GT2-DPs_Mix	DPM1	O60762	Dolichol-phosphate mannosyltransferase subunit 1		Dolichol-phosphate mannose synthase subunit 1;Dolichyl-phosphate beta-D-mannosyltransferase subunit 1;Mannose-P-dolichol synthase subunit 1	Transfers mannose from GDP-mannose to dolichol monophosphate to form dolichol phosphate mannose (Dol-P-Man) which is the mannosyl donor in pathways leading to N-glycosylation, glycosyl phosphatidylinositol membrane anchoring, and O-mannosylation of proteins; catalytic subunit of the dolichol-phosphate mannose (DPM) synthase complex
